# name: AS Org
# date: 201101
# program start time: 2014-07-20 03:04:39
# file creation time: 2014-07-20 03:04:40
# exe:build-as_org2info.pl
#    argument: -w /project/as2org/families.txt
#    argument: -D 201101
#    argument: /data/external/whois-database-dumps/201101/20110131.delegated-afrinic.txt.gz/data/external/whois-database-dumps/201101/20110131.delegated-apnic.txt.gz/data/external/whois-database-dumps/201101/20110131.delegated-arin.txt.gz/data/external/whois-database-dumps/201101/20110131.delegated-lacnic.txt.gz/data/external/whois-database-dumps/201101/20110131.delegated-iana.txt.gz
# format:org_id|changed|org_name|country|source
@aut-10022-APNIC|20000428|Internet access for Datacom Systems Auckland|NZ|APNIC
@aut-10023-APNIC|20071116|Snoopa Community P/L ISP Geelong Australia|AU|APNIC
@aut-10024-APNIC|20000608|LGA International|SG|APNIC
@aut-10025-APNIC|20050608|Internet Users Society Niue|NU|APNIC
@aut-10026-APNIC|20100412|Pacnet Services (Japan) Corp.|AP|APNIC
@aut-10027-APNIC|20091221|Verizon Australia PTY Limited|AU|APNIC
@aut-10028-APNIC|20000614|Information System Department|TH|APNIC
@aut-10029-APNIC|20041215|FIRST FIBRE BROADBAND NETWORK IN NEW DELHI, INDIA|IN|APNIC
@aut-10030-APNIC|20090727|Celcom Internet Service Provider|MY|APNIC
@aut-10031-APNIC|20000615|iASPire.net Pte Ltd||APNIC
@aut-10032-APNIC|20010803|Hutchison Global Crossing Ltd.|HK|APNIC
@aut-10033-APNIC|20000921|iBasis Tokyo ICO|JP|APNIC
@aut-10034-APNIC|20000616|YMIR Entertainment|KR|APNIC
@aut-10035-APNIC|20081202|KYONGBUK COLLEGE OF SCIENCE|KR|APNIC
@aut-10036-APNIC|20090910|C&M Communication Co.,Ltd.|KR|APNIC
@aut-10037-APNIC|20051223|Jeil CATV Co.,Ltd|KR|APNIC
@aut-10038-APNIC|20050217|SK Telecom|KR|APNIC
@aut-10039-APNIC|20000620|mire.net|KR|APNIC
@aut-10040-APNIC|20030529|NICE Information & Telecommunication, Inc|KR|APNIC
@aut-10041-APNIC|20071107|The Willbes & Co.,Ltd|KR|APNIC
@aut-10042-APNIC|20071114|DAEGU POLYTECHNIC COLLEGE|KR|APNIC
@aut-10043-APNIC|20070704|Ministry of Information and Communication|KR|APNIC
@aut-10044-APNIC|20090724|Rural Development Adminstration (RDA)|KR|APNIC
@aut-10045-APNIC|20091109|Hanbat National University|KR|APNIC
@aut-10046-APNIC|20000719|HOWON UNIVERSITY|KR|APNIC
@aut-10047-APNIC|20060517|Namseoul university|KR|APNIC
@aut-10048-APNIC|20061120|Bittel|KR|APNIC
@aut-10049-APNIC|20040517|SKC&C|KR|APNIC
@aut-10050-APNIC|20060104|Ministry of Information and Communication Republic of Korea|KR|APNIC
@aut-10051-APNIC|20000807|ANYSAT|KR|APNIC
@aut-10052-APNIC|20000706|Kyungpook National Univ.|KR|APNIC
@aut-10053-APNIC|20020731|Anyang Technical College|KR|APNIC
@aut-10054-APNIC|20061113|CMB Kwnagju Easten Broadcasting|KR|APNIC
@aut-10055-APNIC|20090223|Korean National Railroad Administration|KR|APNIC
@aut-10056-APNIC|20020805|Hyundai Marin&Fire Insurance|KR|APNIC
@aut-10057-APNIC|20050126|ESOCOM|KR|APNIC
@aut-10058-APNIC|20060626|NACUFOK|KR|APNIC
@aut-10059-APNIC|20071113|LG DACOM KIDC|KR|APNIC
@aut-10060-APNIC|20071106|Actoz Soft Co., Ltd.|KR|APNIC
@aut-10061-APNIC|20030121|Financial Supervisory Service|KR|APNIC
@aut-10062-APNIC|20060607|HamanCableBroadcastingCorporation|KR|APNIC
@aut-10063-APNIC|20000816|Korea Meteorological Administration|KR|APNIC
@aut-10064-APNIC|20080812|KNUS|KR|APNIC
@aut-10065-APNIC|20041117|Korea Marine Transport|KR|APNIC
@aut-10066-APNIC|20081204|CJ-CABLENET|KR|APNIC
@aut-10067-APNIC|20061113|LG CNS|KR|APNIC
@aut-10068-APNIC|20000828|Honhjin Network|KR|APNIC
@aut-10069-APNIC|20060706|Seoul Metro|KR|APNIC
@aut-10070-APNIC|20030122|Korea Research Institute of Standards and Science|KR|APNIC
@aut-10071-APNIC|20050202|anyang University|KR|APNIC
@aut-10072-APNIC|20000914|Cho Hung Bank|KR|APNIC
@aut-10073-APNIC|20061123|Korea National Open University|KR|APNIC
@aut-10074-APNIC|20000921|iBasis Singapore ICO|SG|APNIC
@aut-10075-APNIC|20100419|Fortana Networks Australia Pty Ltd|AU|APNIC
@aut-10076-APNIC|20101102|ERDEMNET ISP|MN|APNIC
@aut-10077-APNIC|20050608|HCL Infinet Limited|IN|APNIC
@aut-10078-APNIC|20051202|Internet Business Corporation|AU|APNIC
@aut-10079-APNIC|20040531|Pacific Dunlop Group|AU|APNIC
@aut-10080-APNIC|20070820|Webshield, Internet Service Provider, Adelaide, Australia|AU|APNIC
@aut-10081-APNIC|20000623|DiGi Telecommunications Sdn Bhd|MY|APNIC
@aut-10082-APNIC|20101213|Morgan Stanley Asia Limited|HK|APNIC
@aut-10083-APNIC|20000926|Cynergic (NSW) Peering AS Number|AU|APNIC
@aut-10084-APNIC|20061002|Western Australian Internet Association|AU|APNIC
@aut-10085-APNIC|20000626|PEER WITH OVERSEA ISP||APNIC
@aut-10086-APNIC|20070522|T-SYSTEMS SINGAPORE PTE LTD|SG|APNIC
@aut-10087-APNIC|20001109|Printed Circuits Manufacturer|HK|APNIC
@aut-10088-APNIC|20021115|KWANGWOON University in Seoul, Korea|KR|APNIC
@aut-10089-APNIC|20050105|Total Access Communication PLC.|TH|APNIC
@aut-10090-APNIC|20040804|LDS Church of Jesus Christ|AU|APNIC
@aut-10091-APNIC|20090317|SCV Broadband Access Provider||APNIC
@aut-10092-APNIC|20040413|Australian Domain Administration Limited,|AU|APNIC
@aut-10093-APNIC|20020523|WebOne Internet|AU|APNIC
@aut-10094-APNIC|20100724|BruNet|BN|APNIC
@aut-10095-APNIC|20090515|SAXTELMEDIA|AU|APNIC
@aut-10096-APNIC|20071217|Easycall Communications Phils., Inc.|PH|APNIC
@aut-10097-APNIC|20040812|Flow Communications 2/541 Kent St Sydney NSW 2000|AU|APNIC
@aut-10098-APNIC|20090406|Henderson Data Centre Limited|HK|APNIC
@aut-10099-APNIC|20100906|China Unicom (Hong Kong) Operations Limited|HK|APNIC
@aut-10100-APNIC|20090507|UBS Autonomous System Asia-Pacific|SG|APNIC
@aut-10101-APNIC|20090513|Simpur ISP|BN|APNIC
@aut-10102-APNIC|20100428|1Asia Communication Pte Ltd|SG|APNIC
@aut-10103-APNIC|20010326|HK Broadband Network Ltd.||APNIC
@aut-10104-APNIC|20001109|Internet Depot|AU|APNIC
@aut-10105-APNIC|20020531|OMNIconnect Pty Ltd|AU|APNIC
@aut-10106-APNIC|20100726|Central Gippsland Institute of TAFE|AU|APNIC
@aut-10107-APNIC|20091201|141 Ayala Street 11th Floor Unit 1108|PH|APNIC
@aut-10108-APNIC|20011103|DRESDNER KLEINWORT WASSERSTEIN,|HK|APNIC
@aut-10109-APNIC|20080104|Topica LLC, Internet Service Provider,Ulaanbaatar, Mongolia|MN|APNIC
@aut-10110-APNIC|20000720|Manukau Institute of Technology||APNIC
@aut-10111-APNIC|20031010|DataOne(Malaysia)|MY|APNIC
@aut-10112-APNIC|20030106|Creative Technology Ltd||APNIC
@aut-10113-APNIC|20070816|DATAFAST TELECOMMUNICATIONS LTD|AU|APNIC
@aut-10114-APNIC|20040629|PT.Medialintas Antar Buana|ID|APNIC
@aut-10115-APNIC|20020727|Australian Taxation OAffice|AU|APNIC
@aut-10116-APNIC|20010519|Hutchison Telephone Company Limited|HK|APNIC
@aut-10117-APNIC|20060118|Viewqwest Singapore Pte Ltd Broadband Border AS|SG|APNIC
@aut-10118-APNIC|20010519|Hutchison Telephone Company Limited|HK|APNIC
@aut-10119-APNIC|20001030|ISW Head Office in Hobart|AU|APNIC
@aut-10120-APNIC|20000731|IBM Sinapore Server Farm|SG|APNIC
@aut-10121-APNIC|20071122|Visionbytes Pty Limited|AU|APNIC
@aut-10122-APNIC|20060907|Beijing Jiasheng Lianhua technical Co. Ltd|CN|APNIC
@aut-10123-APNIC|20100526|Guangzhou Tenmark Networks Technology Ltd|CN|APNIC
@aut-10125-APNIC|20080107|INTERGLOBE IS A LARGE BPO AND IT COMPANY IN TRAVEL DOMAIN|IN|APNIC
@aut-10126-APNIC|20020830|Taiwan Internet Gateway|TW|APNIC
@aut-10127-APNIC|20011120|CLSA Ltd|HK|APNIC
@aut-10128-APNIC|20040401|Optus Customer Network|AU|APNIC
@aut-10129-APNIC|20000804|Salomon Smith Barney Australia Pty Ltd|AU|APNIC
@aut-10130-APNIC|20010610|Federated States of Micronesia|FM|APNIC
@aut-10131-APNIC|20001122|Telecom Cook Islands|CK|APNIC
@aut-10132-APNIC|20000807|Eastar Technology Data Center in Hongkong|HK|APNIC
@aut-10133-APNIC|20060124|Chief Telecom Inc.|TW|APNIC
@aut-10134-APNIC|20000810|We are an ASP/ISP|AU|APNIC
@aut-10135-APNIC|20050624|EASPNET Inc.|TW|APNIC
@aut-10137-APNIC|20040629|Patrakom Internet Service Provider|ID|APNIC
@aut-10138-APNIC|20000815|iBasis-Sydney ICO|HK|APNIC
@aut-10139-APNIC|20061121|Smart Broadband, Inc.|PH|APNIC
@aut-10140-APNIC|20011008|SingTel GPRS Roaming Exchange|SG|APNIC
@aut-10141-APNIC|20070404|National Internet and Gaming Exchange|PH|APNIC
@aut-10142-APNIC|20000822|Well.Com Pre-Press Services|AU|APNIC
@aut-10143-APNIC|20040401|Exetel Pty Ltd|AU|APNIC
@aut-10144-APNIC|20010110|Eclipse Telecomunications Australia|AU|APNIC
@aut-10145-APNIC|20000824|SecureIP|AU|APNIC
@aut-10146-APNIC|20040402|Ford Motor Company|SG|APNIC
@aut-10147-APNIC|20000824|Dah Sing Bank HK AS|HK|APNIC
@aut-10148-APNIC|20031007|The University of Melbourne, Melbourne, Victoria|AU|APNIC
@aut-10149-APNIC|20000829|SINGAPORE TELECOMMUNIATIONS LIMITED|SG|APNIC
@aut-10150-APNIC|20041028|Optus Customer Network|AU|APNIC
@aut-10151-APNIC|20071122|CSLOXINFO Project for Toyota Technical Center Asia Pacific|TH|APNIC
@aut-10152-APNIC|20040709|NEC Business Solutions|AU|APNIC
@aut-10153-APNIC|20000901|ONE.TEL Limited (Hong Kong)|HK|APNIC
@aut-10154-APNIC|20060228|ULSAN Office of Education|KR|APNIC
@aut-10155-APNIC|20041201|CJ CableNet JoongBusan CATV|KR|APNIC
@aut-10156-APNIC|20030409|Seoul National University of Education|KR|APNIC
@aut-10157-APNIC|20030725|Yahoo! Korea, Corp.|KR|APNIC
@aut-10158-APNIC|20041229|BUSAN METROPOLITAN POLICE AGENCY|KR|APNIC
@aut-10159-APNIC|20100913|HANKUK Aviation University|KR|APNIC
@aut-10160-APNIC|20020711|Intellicenter|KR|APNIC
@aut-10161-APNIC|20001013|Korea Investment Trust Management & Securities Co.,LTD|KR|APNIC
@aut-10162-APNIC|20051223|SNUH|KR|APNIC
@aut-10163-APNIC|20070102|HANKOOK TIRE CO.,LTD.|KR|APNIC
@aut-10164-APNIC|20070425|TBROAD GANGSEO|KR|APNIC
@aut-10165-APNIC|20030915|KOREA CUSTOMS SERVICE|KR|APNIC
@aut-10166-APNIC|20030918|Korea Water Resources Corporation|KR|APNIC
@aut-10167-APNIC|20090921|HANVIT BANK|KR|APNIC
@aut-10168-APNIC|20030107|Korea First Bank|KR|APNIC
@aut-10169-APNIC|20030409|Sunlin College|KR|APNIC
@aut-10170-APNIC|20030122|The Bank of Korea|KR|APNIC
@aut-10171-APNIC|20030121|SKTELINK|KR|APNIC
@aut-10172-APNIC|20081222|KYOBO BOOK CENTER|KR|APNIC
@aut-10173-APNIC|20030121|KSNET.Inc|KR|APNIC
@aut-10174-APNIC|20030919|Munhwa Broadcasting Corporation|KR|APNIC
@aut-10175-APNIC|20061206|Kumho Cable|KR|APNIC
@aut-10176-APNIC|20001127|Taejon Institute of Education Science|KR|APNIC
@aut-10177-APNIC|20061103|GREEN CROSS LIFE INSURANCE Co.,Ltd|KR|APNIC
@aut-10178-APNIC|20001129|Korea Baptist Theological University/Seminary|KR|APNIC
@aut-10179-APNIC|20001205|Daehan Investment Trust Securities|KR|APNIC
@aut-10180-APNIC|20030409|Chuncheon National University of Education|KR|APNIC
@aut-10181-APNIC|20001211|TIME & SPACE TECH|KR|APNIC
@aut-10182-APNIC|20040409|ETOMATO CO.Ltd|KR|APNIC
@aut-10183-APNIC|20071112|Gyongsangbukdo GYONGSAN Office of Education|KR|APNIC
@aut-10184-APNIC|20001221|Korean Federation of Community Credit Cooperatives|KR|APNIC
@aut-10185-APNIC|20040202|Hana Bank Co.|KR|APNIC
@aut-10186-APNIC|20051124|Daejeon Telecom|KR|APNIC
@aut-10187-APNIC|20030121|Korea Information Society Developement Institute|KR|APNIC
@aut-10188-APNIC|20040206|HanMag Futures Corporation|KR|APNIC
@aut-10189-APNIC|20061114|Hyundai merchant marine co., LTD.|KR|APNIC
@aut-10190-APNIC|20030409|Joongbu University|KR|APNIC
@aut-10191-APNIC|20060307|KOREA CABLE TV ULSAN STATION|KR|APNIC
@aut-10192-APNIC|20060105|kiwoom.com Securities.co.,Ltd|KR|APNIC
@aut-10193-APNIC|20010127|WEMADE Entertainment|KR|APNIC
@aut-10194-APNIC|20050112|Doosan Heavy Industries & Construction Co., Ltd.|KR|APNIC
@aut-10195-APNIC|20080108|HAIonNet|KR|APNIC
@aut-10196-APNIC|20060713|Kookmin Bank|KR|APNIC
@aut-10197-APNIC|20050324|Chonnam National University|KR|APNIC
@aut-10198-APNIC|20030409|Catholic University of Pusan|KR|APNIC
@aut-10199-APNIC|20080829|Tata Communications Ltd|IN|APNIC
@aut-10200-APNIC|20040312|Web hosting provider and ISP connectivity.|NZ|APNIC
@aut-10201-APNIC|20060220|Dishnet Wireless Limited. Broadband Wireless|IN|APNIC
@aut-10202-APNIC|20100304|BOC International Holdings Limited|HK|APNIC
@aut-10203-APNIC|20051018|Perth iX|AU|APNIC
@aut-10204-APNIC|20020419|Arcnet NTT MSC ISP|MY|APNIC
@aut-10205-APNIC|20100302|ON.CC(HK) LIMITED|HK|APNIC
@aut-10206-APNIC|20000911|China Netcom Corp VOIP Sub.|CN|APNIC
@aut-10207-APNIC|20100531|Interhost Pacific Pty Ltd t/a Intervolve.|AU|APNIC
@aut-10208-APNIC|20040629|PT. Millenium Internetindo|ID|APNIC
@aut-10209-APNIC|20070928|Japan HUB and Data Center|JP|APNIC
@aut-10210-APNIC|20100517|8 Clunies Ross Court|AU|APNIC
